epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6319,1.18544,1.82473,1.591,0.61193,0.48522,0.51237,0.29534,1.41261,1.85513,1.81522,0.000553496,0.000553496,0.000553496
2,123.5,1.42968,1.84301,1.80069,0.62273,0.48717,0.5303,0.29673,1.43701,1.81958,1.86707,0.00109818,0.00109818,0.00109818
3,183.571,1.43461,1.8323,1.80456,0.57992,0.46749,0.47715,0.25122,1.5446,2.25628,1.93808,0.00163187,0.00163187,0.00163187
4,243.334,1.36284,1.71995,1.74251,0.6871,0.48129,0.55494,0.34818,1.25255,1.68293,1.6829,0.00161749,0.00161749,0.00161749
5,303.299,1.28804,1.58123,1.68169,0.74579,0.58292,0.66729,0.41374,1.21997,1.37593,1.6163,0.00160099,0.00160099,0.00160099
6,362.847,1.24316,1.52281,1.64419,0.76363,0.64978,0.72097,0.48825,1.11136,1.22359,1.52129,0.00158448,0.00158448,0.00158448
7,422.54,1.19854,1.46446,1.61457,0.72459,0.56805,0.64784,0.44233,1.13131,1.36803,1.55255,0.00156798,0.00156798,0.00156798
8,481.941,1.13472,1.35668,1.55987,0.82909,0.60821,0.72496,0.50673,1.05101,1.16539,1.47158,0.00155148,0.00155148,0.00155148
9,541.639,1.11867,1.34429,1.54714,0.80837,0.66475,0.76054,0.52433,1.04338,1.10172,1.45863,0.00153497,0.00153497,0.00153497
10,601.367,1.11262,1.30447,1.5394,0.78091,0.66548,0.74897,0.54864,0.9285,1.05465,1.37246,0.00151847,0.00151847,0.00151847
11,660.955,1.06972,1.24675,1.50144,0.82623,0.70654,0.79119,0.57024,0.96813,0.96898,1.38663,0.00150197,0.00150197,0.00150197
12,720.791,1.06378,1.22332,1.49105,0.7905,0.68084,0.75732,0.54893,0.96719,1.01296,1.37063,0.00148546,0.00148546,0.00148546
13,780.35,1.02612,1.19796,1.46551,0.81955,0.67388,0.77582,0.57378,0.90719,0.99823,1.34059,0.00146896,0.00146896,0.00146896
