epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2508,0.99919,1.57125,1.44483,0.67321,0.46534,0.55071,0.31479,1.36563,1.86398,1.82631,0.000553496,0.000553496,0.000553496
2,123.522,1.25125,1.54438,1.63145,0.55828,0.48512,0.49918,0.28077,1.43946,1.85112,1.87361,0.00109818,0.00109818,0.00109818
3,181.251,1.2766,1.53318,1.65482,0.66978,0.5587,0.59803,0.34536,1.38229,1.69332,1.73539,0.00163187,0.00163187,0.00163187
4,238.878,1.1886,1.41741,1.58542,0.70326,0.53485,0.6287,0.39907,1.2429,1.43439,1.66146,0.00161749,0.00161749,0.00161749
5,296.488,1.13532,1.34174,1.54782,0.80648,0.64969,0.75349,0.51703,1.0692,1.17274,1.46946,0.00160099,0.00160099,0.00160099
6,353.563,1.08842,1.24499,1.50623,0.74655,0.60291,0.69542,0.4651,1.1001,1.29851,1.52717,0.00158448,0.00158448,0.00158448
7,410.999,1.0378,1.17513,1.46937,0.70662,0.60477,0.65369,0.45262,1.05159,1.30803,1.48882,0.00156798,0.00156798,0.00156798
8,468.676,1.00738,1.13735,1.44882,0.7955,0.68808,0.76891,0.54089,1.00213,1.06044,1.41137,0.00155148,0.00155148,0.00155148
9,526.509,0.97506,1.08289,1.42002,0.78812,0.63817,0.72527,0.50947,0.99852,1.07761,1.44282,0.00153497,0.00153497,0.00153497
10,585.757,0.94824,1.04097,1.39246,0.81565,0.70525,0.79385,0.58485,0.90763,0.9166,1.33717,0.00151847,0.00151847,0.00151847
11,644.637,0.91741,1.01558,1.37891,0.85998,0.68159,0.79609,0.59189,0.90353,0.92638,1.33314,0.00150197,0.00150197,0.00150197
12,705.195,0.91988,1.00428,1.37765,0.8185,0.72309,0.79643,0.59189,0.88886,0.89059,1.33573,0.00148546,0.00148546,0.00148546
13,765.403,0.89171,0.97679,1.36127,0.82618,0.68766,0.79513,0.59937,0.85225,0.88997,1.29992,0.00146896,0.00146896,0.00146896
14,825.979,0.87375,0.95181,1.33487,0.80407,0.67983,0.76986,0.56703,0.89272,0.95536,1.34087,0.00145246,0.00145246,0.00145246
15,886.195,0.84733,0.92295,1.31726,0.79697,0.67566,0.75737,0.56156,0.89823,1.00365,1.3497,0.00143595,0.00143595,0.00143595
16,946.084,0.84145,0.90028,1.31278,0.84122,0.71158,0.80029,0.6114,0.81198,0.84319,1.2596,0.00141945,0.00141945,0.00141945
17,1004.46,0.81338,0.87236,1.29779,0.82453,0.71929,0.82032,0.62958,0.80609,0.83445,1.25646,0.00140295,0.00140295,0.00140295
18,1062.98,0.8168,0.86687,1.29379,0.87242,0.71054,0.81479,0.61426,0.8578,0.81329,1.28965,0.00138644,0.00138644,0.00138644
19,1121.13,0.80539,0.86411,1.28197,0.84634,0.71215,0.82351,0.63374,0.79671,0.8299,1.23564,0.00136994,0.00136994,0.00136994
20,1180.81,0.79036,0.82727,1.26974,0.81814,0.72885,0.80625,0.61431,0.8331,0.82623,1.27914,0.00135344,0.00135344,0.00135344
21,1240.83,0.78459,0.83359,1.26646,0.86276,0.73944,0.83888,0.64372,0.79442,0.74293,1.24471,0.00133693,0.00133693,0.00133693
22,1300.76,0.76179,0.79983,1.24855,0.85223,0.74809,0.83332,0.6575,0.75507,0.75343,1.20824,0.00132043,0.00132043,0.00132043
23,1360.15,0.75419,0.78426,1.24844,0.86173,0.7528,0.836,0.64561,0.76141,0.73368,1.23189,0.00130393,0.00130393,0.00130393
24,1420.23,0.74622,0.77572,1.23453,0.8787,0.74566,0.84323,0.66046,0.73762,0.7178,1.19802,0.00128742,0.00128742,0.00128742
25,1479.96,0.74375,0.74952,1.23245,0.87264,0.75467,0.83771,0.65724,0.76706,0.71613,1.22561,0.00127092,0.00127092,0.00127092
26,1540.28,0.73958,0.75533,1.23207,0.89491,0.76169,0.85131,0.67695,0.7244,0.67701,1.18591,0.00125442,0.00125442,0.00125442
27,1600.05,0.7286,0.75248,1.22565,0.87241,0.76282,0.84529,0.67388,0.7283,0.69945,1.18517,0.00123791,0.00123791,0.00123791
28,1660.22,0.71609,0.7373,1.21516,0.90272,0.74263,0.85438,0.68004,0.72837,0.67355,1.18189,0.00122141,0.00122141,0.00122141
29,1720.25,0.71085,0.72213,1.21535,0.86621,0.75819,0.84014,0.66146,0.74574,0.72428,1.21051,0.00120491,0.00120491,0.00120491
30,1780.31,0.71002,0.72045,1.20743,0.8726,0.78227,0.85012,0.67916,0.70648,0.66778,1.17339,0.0011884,0.0011884,0.0011884
31,1840.22,0.7046,0.70904,1.20483,0.89464,0.76733,0.84872,0.68305,0.69951,0.6605,1.17132,0.0011719,0.0011719,0.0011719
32,1899.78,0.68172,0.69903,1.19398,0.88514,0.7527,0.84988,0.68214,0.70174,0.67591,1.17494,0.0011554,0.0011554,0.0011554
33,1959.82,0.67543,0.67062,1.17952,0.87711,0.76988,0.85377,0.69371,0.68771,0.66785,1.15132,0.00113889,0.00113889,0.00113889
34,2019.84,0.67151,0.67597,1.17918,0.88507,0.77733,0.86023,0.69844,0.69945,0.6497,1.17573,0.00112239,0.00112239,0.00112239
35,2079.81,0.67809,0.6819,1.18374,0.8876,0.76437,0.85754,0.68848,0.6927,0.65619,1.16983,0.00110589,0.00110589,0.00110589
