epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.135,0.94733,1.74491,1.40891,0.37325,0.36193,0.29583,0.1574,1.60034,2.34123,2.09247,0.000551326,0.000551326,0.000551326
2,315.123,1.22854,1.50183,1.62542,0.41166,0.26939,0.17213,0.10151,1.66768,3.64125,2.16342,0.00109603,0.00109603,0.00109603
3,494.898,1.19923,1.45375,1.60028,0.71125,0.25583,0.3266,0.16977,1.64101,3.77456,2.0957,0.00162974,0.00162974,0.00162974
4,579.904,1.20069,1.43149,1.60491,0.70252,0.54424,0.63269,0.36891,1.37363,1.75383,1.82143,0.00161749,0.00161749,0.00161749
5,691.868,1.12564,1.31158,1.5446,0.674,0.49359,0.56083,0.35612,1.27934,1.88332,1.69939,0.00160099,0.00160099,0.00160099
6,803.552,1.06762,1.22569,1.48793,0.53867,0.46895,0.47406,0.26623,1.46984,1.86017,1.98401,0.00158448,0.00158448,0.00158448
7,915.201,1.02406,1.13895,1.44925,0.80085,0.63469,0.72097,0.48482,1.10307,1.19261,1.50522,0.00156798,0.00156798,0.00156798
8,1027.06,0.98811,1.09277,1.41657,0.73209,0.58584,0.66862,0.46545,1.02406,1.3343,1.43018,0.00155148,0.00155148,0.00155148
9,1138.61,0.95872,1.06703,1.40257,0.78538,0.67227,0.74234,0.51572,1.0084,1.13668,1.42434,0.00153497,0.00153497,0.00153497
10,1250.3,0.92297,1.01347,1.36832,0.78698,0.66931,0.73641,0.53326,0.94931,1.05829,1.36893,0.00151847,0.00151847,0.00151847
11,1360.45,0.87911,0.95971,1.33002,0.83888,0.69898,0.79074,0.57082,0.93366,0.95278,1.33999,0.00150197,0.00150197,0.00150197
12,1472.52,0.87409,0.94972,1.33515,0.79205,0.67972,0.75048,0.54572,0.92098,1.02673,1.34365,0.00148546,0.00148546,0.00148546
13,1583.71,0.84792,0.92778,1.31237,0.82911,0.69692,0.78026,0.58995,0.86338,0.9201,1.29699,0.00146896,0.00146896,0.00146896
14,1694,0.83367,0.89299,1.30348,0.80427,0.70285,0.76663,0.56005,0.90717,1.01076,1.33883,0.00145246,0.00145246,0.00145246
15,1804,0.81295,0.87168,1.29098,0.87032,0.66344,0.77559,0.57534,0.9036,0.98488,1.33786,0.00143595,0.00143595,0.00143595
16,1913.92,0.80019,0.85081,1.27555,0.8372,0.75679,0.82798,0.63111,0.84025,0.78986,1.27226,0.00141945,0.00141945,0.00141945
17,2023.99,0.78219,0.8303,1.2635,0.84323,0.69122,0.79022,0.59378,0.86736,0.87398,1.30924,0.00140295,0.00140295,0.00140295
18,2133.82,0.78153,0.82743,1.26043,0.8556,0.72833,0.82202,0.62127,0.85623,0.8065,1.29801,0.00138644,0.00138644,0.00138644
19,2243.76,0.77174,0.80609,1.25106,0.86199,0.72598,0.81733,0.618,0.83112,0.82597,1.27204,0.00136994,0.00136994,0.00136994
20,2353.67,0.74705,0.78541,1.2338,0.86044,0.72625,0.83216,0.63618,0.80553,0.78508,1.26459,0.00135344,0.00135344,0.00135344
21,2463.65,0.74111,0.7546,1.22703,0.8793,0.73183,0.82227,0.63618,0.79792,0.76652,1.25212,0.00133693,0.00133693,0.00133693
22,2573.6,0.72413,0.75597,1.21914,0.83809,0.77076,0.83799,0.66224,0.74853,0.7521,1.20951,0.00132043,0.00132043,0.00132043
23,2702.63,0.72452,0.74979,1.21729,0.82444,0.74087,0.81514,0.626,0.80898,0.80199,1.2622,0.00130393,0.00130393,0.00130393
24,2812.51,0.71454,0.7189,1.20991,0.86091,0.73781,0.82129,0.63179,0.79317,0.774,1.24758,0.00128742,0.00128742,0.00128742
25,2922.52,0.70508,0.72043,1.1976,0.83715,0.75868,0.83851,0.65103,0.77322,0.73024,1.22919,0.00127092,0.00127092,0.00127092
26,3032.5,0.69319,0.69762,1.18967,0.86279,0.7431,0.82968,0.65527,0.76091,0.75193,1.22253,0.00125442,0.00125442,0.00125442
27,3142.45,0.67286,0.68747,1.17795,0.85104,0.76483,0.84792,0.66899,0.72611,0.69854,1.19474,0.00123791,0.00123791,0.00123791
28,3252.51,0.66997,0.68816,1.17026,0.88143,0.749,0.84008,0.66247,0.74594,0.71995,1.20296,0.00122141,0.00122141,0.00122141
29,3362.39,0.66611,0.66795,1.17121,0.86292,0.77317,0.84652,0.66234,0.73932,0.72275,1.2027,0.00120491,0.00120491,0.00120491
30,3472.51,0.66507,0.67095,1.17708,0.88102,0.76116,0.84226,0.66247,0.7326,0.70797,1.19721,0.0011884,0.0011884,0.0011884
31,3582.5,0.64697,0.65189,1.15657,0.86322,0.74251,0.83449,0.66758,0.73805,0.73822,1.19318,0.0011719,0.0011719,0.0011719
32,3674.29,0.63937,0.64093,1.15026,0.82188,0.728,0.79531,0.63368,0.72837,0.76283,1.20653,0.0011554,0.0011554,0.0011554
33,3765.99,0.62945,0.63168,1.14216,0.84951,0.7812,0.84492,0.67136,0.71411,0.67973,1.1894,0.00113889,0.00113889,0.00113889
34,3876.08,0.61822,0.60782,1.1315,0.8774,0.7583,0.8458,0.6762,0.73101,0.69568,1.20139,0.00112239,0.00112239,0.00112239
35,3986.16,0.61976,0.61162,1.13296,0.84538,0.75567,0.83476,0.66941,0.70787,0.70636,1.17931,0.00110589,0.00110589,0.00110589
36,4096.13,0.6205,0.61149,1.12756,0.85343,0.75514,0.83657,0.67389,0.70909,0.69134,1.17571,0.00108938,0.00108938,0.00108938
37,4205.92,0.59959,0.59402,1.11493,0.83568,0.79073,0.84758,0.69274,0.67983,0.64634,1.15565,0.00107288,0.00107288,0.00107288
38,4316.06,0.60159,0.58112,1.11318,0.87921,0.76846,0.84755,0.68842,0.6884,0.65136,1.16923,0.00105638,0.00105638,0.00105638
39,4425.96,0.59287,0.57722,1.10988,0.89865,0.76887,0.8586,0.70589,0.6702,0.62063,1.14137,0.00103987,0.00103987,0.00103987
40,4535.95,0.58816,0.57133,1.10535,0.89778,0.76247,0.85878,0.69984,0.67562,0.64793,1.16534,0.00102337,0.00102337,0.00102337
41,4645.82,0.57161,0.55979,1.09391,0.88989,0.78122,0.864,0.71305,0.65275,0.60648,1.1308,0.00100687,0.00100687,0.00100687
42,4755.89,0.56248,0.55207,1.08788,0.8642,0.78123,0.85302,0.70209,0.65687,0.63913,1.137,0.000990365,0.000990365,0.000990365
43,4865.83,0.56872,0.55908,1.09073,0.88588,0.77125,0.8583,0.7118,0.6473,0.61668,1.14305,0.000973861,0.000973861,0.000973861
44,4975.71,0.55799,0.52953,1.08526,0.89093,0.76672,0.85896,0.71338,0.64431,0.61207,1.12661,0.000957358,0.000957358,0.000957358
45,5085.71,0.54914,0.52275,1.07632,0.86846,0.78707,0.85911,0.7198,0.62583,0.61,1.12043,0.000940855,0.000940855,0.000940855
46,5195.6,0.54978,0.53106,1.07892,0.89935,0.79903,0.87593,0.7252,0.63633,0.56821,1.12345,0.000924352,0.000924352,0.000924352
47,5305.91,0.5528,0.53579,1.08166,0.91211,0.77626,0.86617,0.71518,0.64719,0.59396,1.12308,0.000907848,0.000907848,0.000907848
48,5415.83,0.54289,0.5124,1.0701,0.89931,0.77436,0.85819,0.70944,0.63614,0.58551,1.12606,0.000891345,0.000891345,0.000891345
49,5525.72,0.53803,0.50372,1.07104,0.89762,0.78095,0.85645,0.70912,0.64298,0.61903,1.13009,0.000874842,0.000874842,0.000874842
50,5635.99,0.53559,0.51605,1.06615,0.88408,0.77796,0.85875,0.70784,0.64737,0.60848,1.13808,0.000858338,0.000858338,0.000858338
51,5745.83,0.51536,0.47819,1.04785,0.85451,0.8108,0.8618,0.71766,0.63461,0.59043,1.1311,0.000841835,0.000841835,0.000841835
52,5855.77,0.51707,0.49308,1.04973,0.89802,0.77818,0.85491,0.71696,0.63329,0.59106,1.12356,0.000825332,0.000825332,0.000825332
53,5965.62,0.51166,0.47896,1.04742,0.871,0.79571,0.86114,0.7194,0.62866,0.58462,1.12351,0.000808828,0.000808828,0.000808828
54,6075.42,0.5092,0.47251,1.04633,0.88494,0.79648,0.86565,0.72399,0.62956,0.57881,1.13138,0.000792325,0.000792325,0.000792325
55,6186.95,0.49824,0.4586,1.04226,0.89218,0.79254,0.86449,0.7268,0.61845,0.56464,1.11622,0.000775822,0.000775822,0.000775822
56,6298.71,0.50298,0.46447,1.03961,0.88781,0.78629,0.86177,0.71592,0.64681,0.5802,1.15589,0.000759318,0.000759318,0.000759318
57,6408.6,0.50288,0.46541,1.03682,0.87168,0.79847,0.86423,0.72166,0.61547,0.57271,1.11506,0.000742815,0.000742815,0.000742815
58,6518.42,0.48341,0.44182,1.03105,0.91022,0.76899,0.86703,0.72625,0.60928,0.58243,1.11989,0.000726312,0.000726312,0.000726312
59,6628.28,0.49015,0.45399,1.02655,0.89863,0.79227,0.86615,0.727,0.61301,0.56569,1.11944,0.000709809,0.000709809,0.000709809
60,6738.17,0.49335,0.45773,1.03321,0.85842,0.80619,0.85944,0.72149,0.61824,0.59893,1.12901,0.000693305,0.000693305,0.000693305
61,6847.97,0.47648,0.43225,1.02109,0.90045,0.79536,0.86728,0.73551,0.5964,0.54857,1.1106,0.000676802,0.000676802,0.000676802
62,6957.83,0.47739,0.43367,1.01902,0.86273,0.81649,0.86929,0.73184,0.60269,0.56471,1.10586,0.000660299,0.000660299,0.000660299
63,7067.57,0.46754,0.43007,1.01242,0.88057,0.80181,0.86055,0.72911,0.59687,0.56474,1.11524,0.000643795,0.000643795,0.000643795
64,7177.34,0.46014,0.42095,1.00356,0.88293,0.80511,0.86864,0.73752,0.5901,0.55563,1.09655,0.000627292,0.000627292,0.000627292
65,7287.18,0.4586,0.41602,1.01302,0.88565,0.80289,0.86063,0.73071,0.6033,0.57359,1.11207,0.000610789,0.000610789,0.000610789
66,7396.82,0.45233,0.40412,1.00591,0.89184,0.79536,0.86714,0.73983,0.5886,0.54123,1.10284,0.000594286,0.000594286,0.000594286
67,7506.77,0.45224,0.4039,0.99716,0.89721,0.80634,0.86665,0.73428,0.5917,0.53749,1.10048,0.000577782,0.000577782,0.000577782
68,7616.47,0.45389,0.41048,1.00636,0.87031,0.80864,0.8649,0.7272,0.60441,0.55914,1.11621,0.000561279,0.000561279,0.000561279
69,7726.21,0.43562,0.39339,0.99486,0.89882,0.79405,0.85947,0.73478,0.59288,0.57313,1.11607,0.000544776,0.000544776,0.000544776
70,7835.97,0.43253,0.3907,0.98951,0.8809,0.79919,0.85863,0.73336,0.57258,0.55893,1.09382,0.000528272,0.000528272,0.000528272
71,7945.97,0.42654,0.38364,0.98454,0.90348,0.79071,0.86453,0.73573,0.58287,0.54845,1.11653,0.000511769,0.000511769,0.000511769
72,8055.06,0.43005,0.3852,0.9896,0.90021,0.7855,0.86372,0.7351,0.57528,0.56252,1.09455,0.000495266,0.000495266,0.000495266
73,8164.27,0.42441,0.38319,0.98737,0.88521,0.79552,0.85928,0.73754,0.57288,0.55608,1.09987,0.000478762,0.000478762,0.000478762
74,8273.56,0.41865,0.37472,0.98122,0.8828,0.80219,0.86656,0.74182,0.58208,0.54816,1.10634,0.000462259,0.000462259,0.000462259
75,8383.22,0.42022,0.36843,0.98105,0.86992,0.80372,0.85794,0.73606,0.58644,0.55538,1.11884,0.000445756,0.000445756,0.000445756
76,8493.02,0.41592,0.37354,0.98011,0.9119,0.78989,0.86201,0.73621,0.59018,0.54681,1.1224,0.000429253,0.000429253,0.000429253
77,8602.84,0.41641,0.36362,0.97711,0.88352,0.81412,0.85662,0.73406,0.58487,0.56278,1.11334,0.000412749,0.000412749,0.000412749
78,8712.59,0.40654,0.35999,0.97195,0.92086,0.78193,0.86168,0.73273,0.59122,0.54287,1.12763,0.000396246,0.000396246,0.000396246
79,8822.29,0.40278,0.35392,0.97066,0.90704,0.80048,0.86221,0.74009,0.57165,0.54791,1.09887,0.000379743,0.000379743,0.000379743
80,8931.97,0.40159,0.3527,0.96849,0.89361,0.80078,0.85708,0.73118,0.58314,0.55398,1.10434,0.000363239,0.000363239,0.000363239
81,9041.65,0.39855,0.35354,0.97032,0.89672,0.79726,0.85506,0.72916,0.57286,0.55817,1.10478,0.000346736,0.000346736,0.000346736
82,9151.32,0.39982,0.35341,0.96764,0.89881,0.79093,0.86143,0.73553,0.57335,0.56997,1.09749,0.000330233,0.000330233,0.000330233
83,9260.98,0.38978,0.34094,0.96474,0.8927,0.79749,0.85577,0.73145,0.57376,0.56962,1.10606,0.000313729,0.000313729,0.000313729
84,9370.63,0.38793,0.33833,0.96229,0.88457,0.8062,0.8607,0.73858,0.57257,0.55572,1.10086,0.000297226,0.000297226,0.000297226
85,9480.33,0.38725,0.34242,0.96053,0.90459,0.79265,0.85994,0.73544,0.5757,0.55004,1.10603,0.000280723,0.000280723,0.000280723
86,9589.98,0.38245,0.32975,0.95957,0.87847,0.80906,0.85961,0.73787,0.57553,0.55383,1.10833,0.00026422,0.00026422,0.00026422
87,9699.7,0.3766,0.32147,0.95354,0.88436,0.81068,0.85687,0.7289,0.57706,0.56464,1.10795,0.000247716,0.000247716,0.000247716
88,9809.48,0.37258,0.32515,0.95139,0.88279,0.81198,0.86432,0.73535,0.56973,0.54961,1.10149,0.000231213,0.000231213,0.000231213
89,9919.18,0.37032,0.32253,0.94944,0.88913,0.79963,0.861,0.73824,0.56725,0.5474,1.10465,0.00021471,0.00021471,0.00021471
90,10030.5,0.36921,0.31636,0.94424,0.88076,0.81507,0.86136,0.73869,0.56588,0.54493,1.10866,0.000198206,0.000198206,0.000198206
