frame,czas_s,kury,nie_kury,drzwi
1,0.000,1,0,1
2,0.033,1,1,0
3,0.067,1,0,1
4,0.100,1,0,1
5,0.134,1,1,0
6,0.167,1,0,1
7,0.201,1,0,1
8,0.234,1,0,1
9,0.267,0,1,0
10,0.301,0,0,0
11,0.334,1,0,1
12,0.368,1,0,1
13,0.401,3,0,1
14,0.434,2,0,1
15,0.468,2,0,1
16,0.501,1,0,1
17,0.535,1,0,1
18,0.568,1,0,1
19,0.602,1,0,1
20,0.635,0,0,0
21,0.668,1,0,1
22,0.702,2,0,1
23,0.735,4,0,1
24,0.769,5,0,1
25,0.802,4,0,1
26,0.836,4,1,0
27,0.869,3,0,1
28,0.902,3,0,1
29,0.936,4,1,0
30,0.969,4,1,0
31,1.003,5,1,0
32,1.036,4,0,1
33,1.070,5,0,1
34,1.103,4,1,0
35,1.136,4,0,1
36,1.170,1,1,0
37,1.203,3,0,1
38,1.237,4,0,1
39,1.270,3,0,1
40,1.303,3,0,1
41,1.337,4,0,1
42,1.370,3,0,1
43,1.404,2,0,1
44,1.437,1,0,1
45,1.471,1,0,1
46,1.504,2,0,1
47,1.537,3,0,1
48,1.571,3,0,1
49,1.604,3,0,1
50,1.638,4,0,1
51,1.671,3,0,1
52,1.705,3,0,1
53,1.738,4,0,1
54,1.771,2,1,0
55,1.805,2,0,1
56,1.838,2,0,1
57,1.872,1,0,1
58,1.905,2,0,1
59,1.939,2,0,1
60,1.972,3,0,1
61,2.005,1,0,1
62,2.039,1,0,1
63,2.072,2,0,1
64,2.106,3,0,1
65,2.139,2,0,1
66,2.172,2,0,1
67,2.206,2,0,1
68,2.239,1,0,1
69,2.273,4,0,1
70,2.306,2,0,1
71,2.340,3,0,1
72,2.373,4,0,1
73,2.406,3,0,1
74,2.440,2,0,1
75,2.473,2,0,1
76,2.507,4,0,1
77,2.540,4,0,1
78,2.574,3,0,1
79,2.607,4,0,1
80,2.640,2,0,1
81,2.674,2,0,1
82,2.707,2,0,1
83,2.741,3,0,1
84,2.774,3,0,1
85,2.807,3,0,1
86,2.841,3,0,1
87,2.874,3,0,1
88,2.908,3,0,1
89,2.941,5,0,1
90,2.975,3,0,1
91,3.008,6,0,1
92,3.041,6,1,0
93,3.075,3,0,1
94,3.108,4,0,1
95,3.142,4,0,1
96,3.175,2,0,1
97,3.209,4,0,1
98,3.242,3,0,1
99,3.275,4,0,1
100,3.309,3,0,1
101,3.342,3,0,1
102,3.376,3,0,1
103,3.409,2,0,1
104,3.443,2,0,1
105,3.476,2,0,1
106,3.509,2,0,1
107,3.543,2,0,1
108,3.576,2,0,1
109,3.610,3,0,1
110,3.643,3,0,1
111,3.676,3,0,1
112,3.710,3,0,1
113,3.743,3,0,1
114,3.777,3,0,1
115,3.810,4,0,1
116,3.844,4,0,1
117,3.877,3,0,1
118,3.910,4,0,1
119,3.944,3,0,1
120,3.977,5,0,1
121,4.011,3,0,1
122,4.044,3,0,1
123,4.078,3,0,1
124,4.111,3,0,1
125,4.144,4,0,1
126,4.178,4,0,1
127,4.211,3,0,1
128,4.245,4,0,1
129,4.278,2,0,1
