frame,czas_s,kury,nie_kury,drzwi
1,0.000,3,0,1
2,0.033,3,1,0
3,0.067,3,1,0
4,0.100,3,1,0
5,0.133,3,1,0
6,0.167,3,1,0
7,0.200,4,0,1
8,0.233,4,0,1
9,0.267,4,0,1
10,0.300,4,0,1
11,0.333,6,0,1
12,0.367,5,1,0
13,0.400,5,1,0
14,0.433,4,0,1
15,0.467,5,0,1
16,0.500,5,0,1
17,0.533,5,0,1
18,0.567,5,0,1
19,0.600,5,0,1
20,0.633,5,0,1
21,0.667,5,0,1
22,0.700,5,0,1
23,0.733,5,0,1
24,0.767,5,0,1
25,0.800,6,0,1
26,0.833,4,0,1
27,0.867,3,0,1
28,0.900,3,0,1
29,0.933,2,0,1
30,0.967,2,0,1
31,1.000,4,1,0
32,1.033,5,0,1
33,1.067,4,0,1
34,1.100,4,0,1
35,1.133,4,0,1
36,1.167,1,0,1
37,1.200,3,1,0
38,1.233,3,1,0
39,1.267,5,0,1
40,1.300,4,1,0
41,1.333,3,0,1
42,1.367,2,0,1
43,1.400,2,0,1
44,1.433,0,0,0
45,1.467,2,0,1
46,1.500,2,0,1
47,1.533,2,0,1
48,1.567,0,0,0
49,1.600,1,0,1
50,1.633,1,0,1
51,1.667,1,0,1
52,1.700,1,0,1
53,1.733,2,0,1
54,1.767,1,0,1
55,1.800,1,0,1
56,1.833,1,0,1
57,1.867,1,0,1
58,1.900,4,0,1
59,1.933,4,0,1
60,1.967,4,0,1
61,2.000,3,0,1
62,2.033,3,0,1
63,2.067,0,0,0
64,2.100,3,1,0
65,2.133,3,0,1
66,2.167,3,0,1
67,2.200,3,0,1
68,2.233,3,0,1
69,2.267,1,0,1
70,2.300,1,0,1
71,2.333,1,0,1
72,2.367,0,0,0
73,2.400,1,0,1
74,2.433,2,0,1
75,2.467,3,1,0
76,2.500,0,0,0
77,2.533,1,0,1
78,2.567,0,0,0
79,2.600,2,0,1
80,2.633,2,0,1
81,2.667,2,0,1
82,2.700,1,0,1
83,2.733,0,0,0
84,2.767,0,0,0
85,2.800,1,0,1
86,2.833,1,0,1
87,2.867,0,0,0
88,2.900,0,0,0
89,2.933,0,0,0
90,2.967,0,0,0
91,3.000,0,0,0
92,3.033,0,0,0
93,3.067,0,0,0
94,3.100,0,0,0
95,3.133,0,0,0
96,3.167,0,0,0
97,3.200,0,0,0
98,3.233,0,1,0
99,3.267,1,0,1
100,3.300,0,0,0
101,3.333,0,0,0
102,3.367,0,0,0
103,3.400,1,0,1
