frame,czas_s,kury,nie_kury,drzwi
1,0.000,0,1,0
2,0.033,0,2,0
3,0.067,0,1,0
4,0.100,0,1,0
5,0.134,0,2,0
6,0.167,0,1,0
7,0.201,0,1,0
8,0.234,0,1,0
9,0.267,0,1,0
10,0.301,0,0,0
11,0.334,1,0,1
12,0.368,1,0,1
13,0.401,2,1,0
14,0.434,1,1,0
15,0.468,1,1,0
16,0.501,1,0,1
17,0.535,1,0,1
18,0.568,1,0,1
19,0.602,1,0,1
20,0.635,0,0,0
21,0.668,0,1,0
22,0.702,1,1,0
23,0.735,4,0,1
24,0.769,5,0,1
25,0.802,3,1,0
26,0.836,4,1,0
27,0.869,3,0,1
28,0.902,3,0,1
29,0.936,4,1,0
30,0.969,4,1,0
31,1.003,5,1,0
32,1.036,4,0,1
33,1.070,5,0,1
34,1.103,4,1,0
35,1.136,3,1,0
36,1.170,1,1,0
37,1.203,3,0,1
38,1.237,4,0,1
39,1.270,3,0,1
40,1.303,3,0,1
41,1.337,4,0,1
42,1.370,3,0,1
43,1.404,2,0,1
44,1.437,1,0,1
45,1.471,1,0,1
46,1.504,2,0,1
47,1.537,3,0,1
48,1.571,3,0,1
49,1.604,3,0,1
50,1.638,4,0,1
51,1.671,3,0,1
52,1.705,3,0,1
53,1.738,4,0,1
54,1.771,2,1,0
55,1.805,2,0,1
56,1.838,2,0,1
57,1.872,0,1,0
58,1.905,1,1,0
59,1.939,1,1,0
60,1.972,2,1,0
61,2.005,1,0,1
62,2.039,1,0,1
63,2.072,2,0,1
64,2.106,1,2,0
65,2.139,2,0,1
66,2.172,1,1,0
67,2.206,2,0,1
68,2.239,1,0,1
69,2.273,3,1,0
70,2.306,2,0,1
71,2.340,2,1,0
72,2.373,2,2,0
73,2.406,2,1,0
74,2.440,2,0,1
75,2.473,2,0,1
76,2.507,2,2,0
77,2.540,3,1,0
78,2.574,3,0,1
79,2.607,4,0,1
80,2.640,2,0,1
81,2.674,2,0,1
82,2.707,2,0,1
83,2.741,3,0,1
84,2.774,3,0,1
85,2.807,3,0,1
86,2.841,3,0,1
87,2.874,3,0,1
88,2.908,3,0,1
89,2.941,5,0,1
90,2.975,3,0,1
91,3.008,6,0,1
92,3.041,5,2,0
93,3.075,3,0,1
94,3.108,3,1,0
95,3.142,4,0,1
96,3.175,2,0,1
97,3.209,4,0,1
98,3.242,3,0,1
99,3.275,4,0,1
100,3.309,3,0,1
101,3.342,3,0,1
102,3.376,3,0,1
103,3.409,2,0,1
104,3.443,2,0,1
105,3.476,2,0,1
106,3.509,2,0,1
107,3.543,1,1,0
108,3.576,1,1,0
109,3.610,1,2,0
110,3.643,1,2,0
111,3.676,1,2,0
112,3.710,2,1,0
113,3.743,2,1,0
114,3.777,2,1,0
115,3.810,3,1,0
116,3.844,3,1,0
117,3.877,2,1,0
118,3.910,2,2,0
119,3.944,2,1,0
120,3.977,3,2,0
121,4.011,2,1,0
122,4.044,2,1,0
123,4.078,1,2,0
124,4.111,0,3,0
125,4.144,2,2,0
126,4.178,1,3,0
127,4.211,1,2,0
128,4.245,1,3,0
129,4.278,0,2,0
130,4.311,1,2,0
131,4.345,0,1,0
132,4.378,1,1,0
133,4.412,3,1,0
134,4.445,2,1,0
135,4.479,3,0,1
136,4.512,3,1,0
137,4.545,2,1,0
138,4.579,1,1,0
139,4.612,1,2,0
140,4.646,1,2,0
141,4.679,1,1,0
142,4.713,1,1,0
143,4.746,1,2,0
144,4.779,1,2,0
145,4.813,1,2,0
146,4.846,1,3,0
147,4.880,0,3,0
148,4.913,0,3,0
149,4.947,1,3,0
150,4.980,2,1,0
151,5.013,1,3,0
152,5.047,1,4,0
153,5.080,0,3,0
154,5.114,0,5,0
155,5.147,0,3,0
156,5.180,0,2,0
157,5.214,0,3,0
158,5.247,1,3,0
159,5.281,2,5,0
160,5.314,1,4,0
161,5.348,1,3,0
162,5.381,1,2,0
163,5.414,0,2,0
